AHCA Number (File Number),License Number,License Effective Date,License Expiration Date,Facility Type,Name,Street Address,Street Address Line 2,Street City,Street State,Street Zip,Street County,Phone,Mailing Address,Mailing Address Line 2,Mailing City,Mailing State,Mailing Zip,Mailing County,License Status,Owner,Owner Since,Admin/CEO,Licensed Beds,Profit Status,Web Address
100255,4043,10/01/2015,09/30/2017,Hospital,TAMPA COMMUNITY HOSPITAL,6001 WEBB RD,,TAMPA,FL,33615,Hillsborough,(813) 888-7060,6001 WEBB RD,,TAMPA,FL,33615,Hillsborough,LICENSED,WEST FLORIDA - TCH LLC,10/01/2013,MR. JACOB J FISHER,201,For-Profit,http://tampacommunityhospital.com/
23960047,4477,09/13/2014,09/12/2016,Hospital,THE CENTERS INC,5664 SW 60TH AVE,,OCALA,FL,34474,Marion,(352) 291-5500,5664 SW 60TH AVE,,OCALA,FL,34474,Marion,LICENSED,THE CENTERS INC,08/01/2005,MR. TIM COWART,15,Not-For-Profit,http://www.marion-citrusmhc.org
104008,3980,07/01/2015,06/30/2017,Hospital,THE JEROME GOLDEN CENTER FOR BEHAVIORAL HEALTH  INC,1041 45TH ST,,WEST PALM BEACH,FL,33407,Palm Beach,(561) 383-5711,1041 45TH ST,,WEST PALM BEACH,FL,33407,Palm Beach,LICENSED,THE JEROME GOLDEN CENTER FOR BEHAVIORAL HEALTH  INC,11/16/1996,DR. LINDA C DE PIANO,44,Not-For-Profit,N/A
23960073,4488,03/01/2016,02/28/2018,Hospital,THE VINES HOSPITAL,3130 SW 27TH AVE,,OCALA,FL,34474,Marion,(352) 671-3130,3130 SW 27TH AVE,,OCALA,FL,34474,Marion,LICENSED,OCALA BEHAVIORAL HEALTH LLC,03/01/2008,MR. STEPHEN QUINTYNE,64,For-Profit,http://www.TheVinesHospital.com
100001,4063,12/15/2015,09/29/2017,Hospital,UF HEALTH JACKSONVILLE,655 W 8TH ST,,JACKSONVILLE,FL,32209,Duval,(904) 244-0411,655 W 8TH ST,C/O LEGAL DEPARTMENT:PAVILLION,JACKSONVILLE,FL,32209,Duval,LICENSED,SHANDS JACKSONVILLE MEDICAL CENTER INC,10/18/1999,MR. RUSSELL ARMISTEAD,695,Not-For-Profit,http://ufhealthjax.org/
100113,4286,04/29/2016,01/31/2018,Hospital,UF HEALTH SHANDS HOSPITAL,1600 SW ARCHER RD,,GAINESVILLE,FL,32610,Alachua,(352) 265-0111,PO BOX 100303,C/O UF HEALTH SHANDS LEGAL SERVICES,GAINESVILLE,FL,32610-0303,Alachua,LICENSED,SHANDS TEACHING HOSPITAL AND CLINICS  INC.,04/29/1991,EDWARD JIMENEZ,875,Not-For-Profit,http://www.shands.org/hospitals/UF/
120011,4286,03/01/2016,01/31/2018,Hospital,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,4101 NW 89TH BLVD,,GAINESVILLE,FL,32606,Alachua,(352) 265-5491,PO BOX 100303,C/O UF HEALTH SHANDS LEGAL SERVICES,GAINESVILLE,FL,32610-0303,Alachua,LICENSED,SHANDS TEACHING HOSPITAL AND CLINICS  INC.,01/14/1998,EDWARD JIMENEZ,81,Not-For-Profit,http://www.shands.org/hospitals/Vista/
110047,4442,09/01/2016,08/31/2018,Hospital,UNIVERSITY BEHAVIORAL CENTER,2500 DISCOVERY DR,,ORLANDO,FL,32826,Orange,(407) 281-7000,2500 DISCOVERY DR,,ORLANDO,FL,32826,Orange,LICENSED,UNIVERSITY BEHAVIORAL  LLC,05/14/2010,DAVID L. BEARDSLEY,112,For-Profit,www.universitybehavioral.com
100224,4402,01/26/2016,01/25/2018,Hospital,UNIVERSITY HOSPITAL AND MEDICAL CENTER,7201 N UNIVERSITY DR,,TAMARAC,FL,33321,Broward,(954) 721-2200,7201 N UNIVERSITY DR,,TAMARAC,FL,33321,Broward,LICENSED,UNIVERSITY HOSPITAL  LTD,05/02/1991,MR. JOSEPH MELCHIODE,317,For-Profit,http://www.uhmchealth.com/
100009,4109,12/01/2015,11/30/2017,Hospital,UNIVERSITY OF MIAMI HOSPITAL,1400 NW 12TH AVE,,MIAMI,FL,33136-1003,Miami-Dade,(305) 689-5511,1400 NW 12TH AVE,,MIAMI,FL,33136-1003,Miami-Dade,LICENSED,UNIVERSITY OF MIAMI,12/01/2007,MR DAVID ZAMBRANA,560,Not-For-Profit,http://www.umiamihospital.com
23960061,4482,03/01/2016,02/28/2018,Hospital,WEKIVA SPRINGS,3947 SALISBURY RD,,JACKSONVILLE,FL,32216,Duval,(904) 296-3533,3947 SALISBURY RD,,JACKSONVILLE,FL,32216,Duval,LICENSED,WEKIVA SPRINGS CENTER LLC,03/17/2008,MS. SHEILA CARR,120,For-Profit,http://www.wekivacenter.com/
100231,4318,07/01/2015,06/30/2017,Hospital,WEST FLORIDA HOSPITAL,8383 N DAVIS HWY,,PENSACOLA,FL,32514,Escambia,(850) 494-4000,8383 N DAVIS HWY,,PENSACOLA,FL,32514,Escambia,LICENSED,WEST FLORIDA REGIONAL MEDICAL CENTER INC,05/14/1998,MR. BRIAN BAUMGARDNER,515,For-Profit,http://www.westfloridahospital.com/
100165,4068,06/01/2016,06/30/2017,Hospital,WESTCHESTER GENERAL HOSPITAL,2500 SW 75TH AVE,,MIAMI,FL,33155,Miami-Dade,(305) 264-5252,2500 SW 75TH AVE,,MIAMI,FL,33155,Miami-Dade,LICENSED,WESTCHESTER GENERAL HOSPITAL  INC,04/30/1991,MS GILDA BALDWIN,125,For-Profit,http://www.westchesterhospital.com/
104017,4037,10/31/2014,08/31/2016,Hospital,WINDMOOR HEALTHCARE OF CLEARWATER,11300 US HWY 19 N,,CLEARWATER,FL,33764,Pinellas,(727) 541-2646,11300 US HWY 19 N,,CLEARWATER,FL,33764,Pinellas,LICENSED,WINDMOOR HEALTHCARE INC,09/01/2006,MS. WENDY MERSON,144,For-Profit,www.windmoor.com
100052,3974,08/30/3015,08/29/2017,Hospital,WINTER HAVEN HOSPITAL,200 AVE F NE,,WINTER HAVEN,FL,33881,Polk,(863) 293-1121,200 AVE F NE,,WINTER HAVEN,FL,33881,Polk,LICENSED,WINTER HAVEN HOSPITAL INC,07/01/1989,MR. STEPHEN NIERMAN,468,Not-For-Profit,http://winterhavenhospital.org
100092,4132,10/01/2016,09/30/2018,Hospital,WUESTHOFF MEDICAL CENTER-ROCKLEDGE,110 LONGWOOD AVE,,ROCKLEDGE,FL,32955,Brevard,(321) 636-2211,110 LONGWOOD AVE,,ROCKLEDGE,FL,32955,Brevard,LICENSED,ROCKLEDGE HMA LLC,10/01/2010,MR. GARY T MALAER,298,For-Profit,http://www.wuesthoff.org/
